,Unnamed: 0,Entity,Code,Year,Annual_biofuel_production
102,,Aruba,ABW,2003,0
103,,Aruba,ABW,2004,0
104,,Aruba,ABW,2005,0
105,,Aruba,ABW,2006,0
106,,Aruba,ABW,2007,0
107,,Aruba,ABW,2008,0
108,,Aruba,ABW,2009,0
109,,Aruba,ABW,2010,0
110,,Australia,AUS,2000,0
111,,Australia,AUS,2001,0
112,,Australia,AUS,2002,0
113,,Australia,AUS,2003,0.1
114,,Australia,AUS,2004,0.6
115,,Australia,AUS,2005,1.7
116,,Australia,AUS,2006,2.1
117,,Australia,AUS,2007,3.4
118,,Australia,AUS,2008,5.2
119,,Australia,AUS,2009,7.9
120,,Australia,AUS,2010,0
121,,Austria,AUT,2000,0.4
122,,Austria,AUT,2001,0.5
123,,Austria,AUT,2002,0.6
124,,Austria,AUT,2003,1.1
125,,Austria,AUT,2004,1.6
126,,Austria,AUT,2005,2.4
127,,Austria,AUT,2006,5.5
128,,Austria,AUT,2007,5.7
129,,Austria,AUT,2008,8.1
130,,Austria,AUT,2009,7.7
131,,Austria,AUT,2010,0
132,,Azerbaijan,AZE,2000,0
133,,Azerbaijan,AZE,2001,0
134,,Azerbaijan,AZE,2002,0
135,,Azerbaijan,AZE,2003,0
136,,Azerbaijan,AZE,2004,0
137,,Azerbaijan,AZE,2005,0
138,,Azerbaijan,AZE,2006,0
139,,Azerbaijan,AZE,2007,0
140,,Azerbaijan,AZE,2008,0
141,,Azerbaijan,AZE,2009,0
142,,Azerbaijan,AZE,2010,0
143,,Bahamas,BHS,2000,0
144,,Bahamas,BHS,2001,0
145,,Bahamas,BHS,2002,0
146,,Bahamas,BHS,2003,0
147,,Bahamas,BHS,2004,0
148,,Bahamas,BHS,2005,0
149,,Bahamas,BHS,2006,0
150,,Bahamas,BHS,2007,0
151,,Bahamas,BHS,2008,0
152,,Bahamas,BHS,2009,0
153,,Bahamas,BHS,2010,0
154,,Bahrain,BHR,2000,0
155,,Bahrain,BHR,2001,0
156,,Bahrain,BHR,2002,0
157,,Bahrain,BHR,2003,0
158,,Bahrain,BHR,2004,0
159,,Bahrain,BHR,2005,0
160,,Bahrain,BHR,2006,0
161,,Bahrain,BHR,2007,0
162,,Bahrain,BHR,2008,0
163,,Bahrain,BHR,2009,0
164,,Bahrain,BHR,2010,0
165,,Bangladesh,BGD,2000,0
166,,Bangladesh,BGD,2001,0
167,,Bangladesh,BGD,2002,0
168,,Bangladesh,BGD,2003,0
169,,Bangladesh,BGD,2004,0
170,,Bangladesh,BGD,2005,0
171,,Bangladesh,BGD,2006,0
172,,Bangladesh,BGD,2007,0
173,,Bangladesh,BGD,2008,0
174,,Bangladesh,BGD,2009,0
175,,Bangladesh,BGD,2010,0
176,,Barbados,BRB,2000,0
177,,Barbados,BRB,2001,0
178,,Barbados,BRB,2002,0
179,,Barbados,BRB,2003,0
180,,Barbados,BRB,2004,0
181,,Barbados,BRB,2005,0.0003
182,,Barbados,BRB,2006,0.0003
183,,Barbados,BRB,2007,0.001
184,,Barbados,BRB,2008,0.001
185,,Barbados,BRB,2009,0.001
186,,Barbados,BRB,2010,0
187,,Belarus,BLR,2000,0
188,,Belarus,BLR,2001,0
189,,Belarus,BLR,2002,0
190,,Belarus,BLR,2003,0
191,,Belarus,BLR,2004,0
192,,Belarus,BLR,2005,0
193,,Belarus,BLR,2006,0
194,,Belarus,BLR,2007,0.2
195,,Belarus,BLR,2008,0.5
196,,Belarus,BLR,2009,0.7
197,,Belarus,BLR,2010,0
198,,Belgium,BEL,2000,0
199,,Belgium,BEL,2001,0
200,,Belgium,BEL,2002,0
201,,Belgium,BEL,2003,0
202,,Belgium,BEL,2004,0.02
203,,Belgium,BEL,2005,0.49
204,,Belgium,BEL,2006,3.2
205,,Belgium,BEL,2007,5.8
206,,Belgium,BEL,2008,10.6
207,,Belgium,BEL,2009,13.5
208,,Belgium,BEL,2010,0
209,,Belize,BLZ,2000,0
210,,Belize,BLZ,2001,0
211,,Belize,BLZ,2002,0
212,,Belize,BLZ,2003,0
213,,Belize,BLZ,2004,0
214,,Belize,BLZ,2005,0
215,,Belize,BLZ,2006,0
216,,Belize,BLZ,2007,0
217,,Belize,BLZ,2008,0
218,,Belize,BLZ,2009,0
219,,Belize,BLZ,2010,0
220,,Benin,BEN,2000,0
221,,Benin,BEN,2001,0
222,,Benin,BEN,2002,0
223,,Benin,BEN,2003,0
224,,Benin,BEN,2004,0
225,,Benin,BEN,2005,0
226,,Benin,BEN,2006,0
227,,Benin,BEN,2007,0
228,,Benin,BEN,2008,0
229,,Benin,BEN,2009,0
230,,Benin,BEN,2010,0
231,,Bermuda,BMU,2000,0
232,,Bermuda,BMU,2001,0
233,,Bermuda,BMU,2002,0
234,,Bermuda,BMU,2003,0
235,,Bermuda,BMU,2004,0
236,,Bermuda,BMU,2005,0
237,,Bermuda,BMU,2006,0
238,,Bermuda,BMU,2007,0
239,,Bermuda,BMU,2008,0
240,,Bermuda,BMU,2009,0
241,,Bermuda,BMU,2010,0
242,,Bhutan,BTN,2000,0
243,,Bhutan,BTN,2001,0
244,,Bhutan,BTN,2002,0
245,,Bhutan,BTN,2003,0
246,,Bhutan,BTN,2004,0
247,,Bhutan,BTN,2005,0
248,,Bhutan,BTN,2006,0
249,,Bhutan,BTN,2007,0
250,,Bhutan,BTN,2008,0
251,,Bhutan,BTN,2009,0
252,,Bhutan,BTN,2010,0
253,,Bolivia,BOL,2000,0
254,,Bolivia,BOL,2001,0
255,,Bolivia,BOL,2002,0
256,,Bolivia,BOL,2003,0
257,,Bolivia,BOL,2004,0
258,,Bolivia,BOL,2005,0
259,,Bolivia,BOL,2006,0
260,,Bolivia,BOL,2007,0
261,,Bolivia,BOL,2008,0
262,,Bolivia,BOL,2009,0
263,,Bolivia,BOL,2010,0
264,,Bonaire Sint Eustatius and Saba,BES,2000,0
265,,Bonaire Sint Eustatius and Saba,BES,2001,0
266,,Bonaire Sint Eustatius and Saba,BES,2002,0
267,,Bonaire Sint Eustatius and Saba,BES,2003,0
268,,Bonaire Sint Eustatius and Saba,BES,2004,0
269,,Bonaire Sint Eustatius and Saba,BES,2005,0
270,,Bonaire Sint Eustatius and Saba,BES,2006,0
271,,Bonaire Sint Eustatius and Saba,BES,2007,0
272,,Bonaire Sint Eustatius and Saba,BES,2008,0
273,,Bonaire Sint Eustatius and Saba,BES,2009,0
274,,Bonaire Sint Eustatius and Saba,BES,2010,0
275,,Bosnia and Herzegovina,BIH,2000,0
276,,Bosnia and Herzegovina,BIH,2001,0
277,,Bosnia and Herzegovina,BIH,2002,0
278,,Bosnia and Herzegovina,BIH,2003,0
279,,Bosnia and Herzegovina,BIH,2004,0
280,,Bosnia and Herzegovina,BIH,2005,0
281,,Bosnia and Herzegovina,BIH,2006,0
282,,Bosnia and Herzegovina,BIH,2007,0
283,,Bosnia and Herzegovina,BIH,2008,0
284,,Bosnia and Herzegovina,BIH,2009,0
285,,Bosnia and Herzegovina,BIH,2010,0
286,,Botswana,BWA,2000,0
287,,Botswana,BWA,2001,0
288,,Botswana,BWA,2002,0
289,,Botswana,BWA,2003,0
290,,Botswana,BWA,2004,0
291,,Botswana,BWA,2005,0
292,,Botswana,BWA,2006,0
293,,Botswana,BWA,2007,0
294,,Botswana,BWA,2008,0
295,,Botswana,BWA,2009,0
296,,Botswana,BWA,2010,0
297,,Brazil,BRA,2000,197.58565
298,,Brazil,BRA,2001,216.93167
299,,Brazil,BRA,2002,249.35137
300,,Brazil,BRA,2003,251.71708
301,,Brazil,BRA,2004,276.41776
302,,Brazil,BRA,2005,307.30919
303,,Brazil,BRA,2006,395.67613
304,,Brazil,BRA,2007,486.34876
305,,Brazil,BRA,2008,477.52839
306,,Brazil,BRA,2009,527.32212
307,,Brazil,BRA,2010,0
308,,British Virgin Islands,VGB,2000,0
309,,British Virgin Islands,VGB,2001,0
310,,British Virgin Islands,VGB,2002,0
311,,British Virgin Islands,VGB,2003,0
312,,British Virgin Islands,VGB,2004,0
313,,British Virgin Islands,VGB,2005,0
314,,British Virgin Islands,VGB,2006,0
315,,British Virgin Islands,VGB,2007,0
316,,British Virgin Islands,VGB,2008,0
317,,British Virgin Islands,VGB,2009,0
318,,British Virgin Islands,VGB,2010,0
319,,Brunei,BRN,2000,0
320,,Brunei,BRN,2001,0
321,,Brunei,BRN,2002,0
322,,Brunei,BRN,2003,0
323,,Brunei,BRN,2004,0
324,,Brunei,BRN,2005,0
325,,Brunei,BRN,2006,0
326,,Brunei,BRN,2007,0
327,,Brunei,BRN,2008,0
328,,Brunei,BRN,2009,0
329,,Brunei,BRN,2010,0
330,,Bulgaria,BGR,2000,0
331,,Bulgaria,BGR,2001,0
332,,Bulgaria,BGR,2002,0
333,,Bulgaria,BGR,2003,0
334,,Bulgaria,BGR,2004,0
335,,Bulgaria,BGR,2005,0.1
336,,Bulgaria,BGR,2006,0.2
337,,Bulgaria,BGR,2007,0.2
338,,Bulgaria,BGR,2008,0.4
339,,Bulgaria,BGR,2009,0.6
340,,Bulgaria,BGR,2010,0
341,,Burkina Faso,BFA,2000,0
342,,Burkina Faso,BFA,2001,0
343,,Burkina Faso,BFA,2002,0
344,,Burkina Faso,BFA,2003,0
345,,Burkina Faso,BFA,2004,0
346,,Burkina Faso,BFA,2005,0
347,,Burkina Faso,BFA,2006,0
348,,Burkina Faso,BFA,2007,0
349,,Burkina Faso,BFA,2008,0
350,,Burkina Faso,BFA,2009,0
351,,Burkina Faso,BFA,2010,0
352,,Burundi,BDI,2000,0
353,,Burundi,BDI,2001,0
354,,Burundi,BDI,2002,0
355,,Burundi,BDI,2003,0
356,,Burundi,BDI,2004,0
357,,Burundi,BDI,2005,0
358,,Burundi,BDI,2006,0
359,,Burundi,BDI,2007,0
360,,Burundi,BDI,2008,0
361,,Burundi,BDI,2009,0
362,,Burundi,BDI,2010,0
363,,Cambodia,KHM,2000,0
364,,Cambodia,KHM,2001,0
365,,Cambodia,KHM,2002,0
366,,Cambodia,KHM,2003,0
367,,Cambodia,KHM,2004,0
368,,Cambodia,KHM,2005,0
369,,Cambodia,KHM,2006,0
370,,Cambodia,KHM,2007,0
371,,Cambodia,KHM,2008,0.6001
372,,Cambodia,KHM,2009,0.0805
373,,Cambodia,KHM,2010,0
374,,Cameroon,CMR,2000,0
375,,Cameroon,CMR,2001,0
376,,Cameroon,CMR,2002,0
377,,Cameroon,CMR,2003,0
378,,Cameroon,CMR,2004,0
379,,Cameroon,CMR,2005,0
380,,Cameroon,CMR,2006,0
381,,Cameroon,CMR,2007,0
382,,Cameroon,CMR,2008,0
383,,Cameroon,CMR,2009,0
384,,Cameroon,CMR,2010,0
385,,Canada,CAN,2000,3.9
386,,Canada,CAN,2001,4
387,,Canada,CAN,2002,4
388,,Canada,CAN,2003,4
389,,Canada,CAN,2004,4.6
390,,Canada,CAN,2005,5.2
391,,Canada,CAN,2006,15.4
392,,Canada,CAN,2007,16.7
393,,Canada,CAN,2008,22.1
394,,Canada,CAN,2009,26.4
395,,Canada,CAN,2010,0
396,,Cape Verde,CPV,2000,0
397,,Cape Verde,CPV,2001,0
398,,Cape Verde,CPV,2002,0
399,,Cape Verde,CPV,2003,0
400,,Cape Verde,CPV,2004,0
401,,Cape Verde,CPV,2005,0
402,,Cape Verde,CPV,2006,0
403,,Cape Verde,CPV,2007,0
404,,Cape Verde,CPV,2008,0
405,,Cape Verde,CPV,2009,0
406,,Cape Verde,CPV,2010,0
407,,Cayman Islands,CYM,2000,0
408,,Cayman Islands,CYM,2001,0
409,,Cayman Islands,CYM,2002,0
410,,Cayman Islands,CYM,2003,0
411,,Cayman Islands,CYM,2004,0
412,,Cayman Islands,CYM,2005,0
413,,Cayman Islands,CYM,2006,0
414,,Cayman Islands,CYM,2007,0
415,,Cayman Islands,CYM,2008,0
416,,Cayman Islands,CYM,2009,0
417,,Cayman Islands,CYM,2010,0
418,,Central African Republic,CAF,2000,0
419,,Central African Republic,CAF,2001,0
420,,Central African Republic,CAF,2002,0
421,,Central African Republic,CAF,2003,0
422,,Central African Republic,CAF,2004,0
423,,Central African Republic,CAF,2005,0
424,,Central African Republic,CAF,2006,0
425,,Central African Republic,CAF,2007,0
426,,Central African Republic,CAF,2008,0
427,,Central African Republic,CAF,2009,0
428,,Central African Republic,CAF,2010,0
429,,Chad,TCD,2000,0
430,,Chad,TCD,2001,0
431,,Chad,TCD,2002,0
432,,Chad,TCD,2003,0
433,,Chad,TCD,2004,0
434,,Chad,TCD,2005,0
435,,Chad,TCD,2006,0
436,,Chad,TCD,2007,0
437,,Chad,TCD,2008,0
438,,Chad,TCD,2009,0
439,,Chad,TCD,2010,0
440,,Chile,CHL,2000,0
441,,Chile,CHL,2001,0
442,,Chile,CHL,2002,0
443,,Chile,CHL,2003,0
444,,Chile,CHL,2004,0
445,,Chile,CHL,2005,0
446,,Chile,CHL,2006,0
447,,Chile,CHL,2007,0
448,,Chile,CHL,2008,0
449,,Chile,CHL,2009,0
450,,Chile,CHL,2010,0
451,,China,CHN,2000,0.1
452,,China,CHN,2001,5.1
453,,China,CHN,2002,13.9
454,,China,CHN,2003,17.3
455,,China,CHN,2004,21.5
456,,China,CHN,2005,32
457,,China,CHN,2006,30.7
458,,China,CHN,2007,39.4
459,,China,CHN,2008,43
460,,China,CHN,2009,43
461,,China,CHN,2010,0
462,,Christmas Island,CXR,2000,0
463,,Christmas Island,CXR,2001,0
464,,Christmas Island,CXR,2002,0
465,,Christmas Island,CXR,2003,0
466,,Christmas Island,CXR,2004,0
467,,Christmas Island,CXR,2005,0
468,,Christmas Island,CXR,2006,0
469,,Christmas Island,CXR,2007,0
470,,Christmas Island,CXR,2008,0
471,,Christmas Island,CXR,2009,0
472,,Christmas Island,CXR,2010,0
473,,Colombia,COL,2000,0
474,,Colombia,COL,2001,0
475,,Colombia,COL,2002,0
476,,Colombia,COL,2003,0
477,,Colombia,COL,2004,0.5
478,,Colombia,COL,2005,4.6
479,,Colombia,COL,2006,4.8
480,,Colombia,COL,2007,5.8
481,,Colombia,COL,2008,11.3
482,,Colombia,COL,2009,12
483,,Colombia,COL,2010,0
484,,Comoros,COM,2000,0
485,,Comoros,COM,2001,0
486,,Comoros,COM,2002,0
487,,Comoros,COM,2003,0
488,,Comoros,COM,2004,0
489,,Comoros,COM,2005,0
490,,Comoros,COM,2006,0
491,,Comoros,COM,2007,0
492,,Comoros,COM,2008,0
493,,Comoros,COM,2009,0
494,,Comoros,COM,2010,0
495,,Congo,COG,2000,0
496,,Congo,COG,2001,0
497,,Congo,COG,2002,0
498,,Congo,COG,2003,0
499,,Congo,COG,2004,0
500,,Congo,COG,2005,0
501,,Congo,COG,2006,0
502,,Congo,COG,2007,0
503,,Congo,COG,2008,0
504,,Congo,COG,2009,0
505,,Congo,COG,2010,0
506,,Cook Islands,COK,2000,0
507,,Cook Islands,COK,2001,0
508,,Cook Islands,COK,2002,0
509,,Cook Islands,COK,2003,0
510,,Cook Islands,COK,2004,0
511,,Cook Islands,COK,2005,0
512,,Cook Islands,COK,2006,0
513,,Cook Islands,COK,2007,0
514,,Cook Islands,COK,2008,0
515,,Cook Islands,COK,2009,0
516,,Cook Islands,COK,2010,0
517,,Costa Rica,CRI,2000,0
518,,Costa Rica,CRI,2001,0.8
519,,Costa Rica,CRI,2002,1
520,,Costa Rica,CRI,2003,1.34
521,,Costa Rica,CRI,2004,2.06
522,,Costa Rica,CRI,2005,2.11
523,,Costa Rica,CRI,2006,2.9
524,,Costa Rica,CRI,2007,2.4
525,,Costa Rica,CRI,2008,1.2
526,,Costa Rica,CRI,2009,0.5
527,,Costa Rica,CRI,2010,0
528,,Cote d'Ivoire,CIV,2000,0
529,,Cote d'Ivoire,CIV,2001,0
530,,Cote d'Ivoire,CIV,2002,0
531,,Cote d'Ivoire,CIV,2003,0
532,,Cote d'Ivoire,CIV,2004,0
533,,Cote d'Ivoire,CIV,2005,0
534,,Cote d'Ivoire,CIV,2006,0
535,,Cote d'Ivoire,CIV,2007,0
536,,Cote d'Ivoire,CIV,2008,0
537,,Cote d'Ivoire,CIV,2009,0
538,,Cote d'Ivoire,CIV,2010,0
539,,Croatia,HRV,2000,0
540,,Croatia,HRV,2001,0
541,,Croatia,HRV,2002,0
542,,Croatia,HRV,2003,0
543,,Croatia,HRV,2004,0
544,,Croatia,HRV,2005,0
545,,Croatia,HRV,2006,0.1
546,,Croatia,HRV,2007,0.1
547,,Croatia,HRV,2008,0.1
548,,Croatia,HRV,2009,0.2
549,,Croatia,HRV,2010,0
550,,Cuba,CUB,2000,1
551,,Cuba,CUB,2001,1
552,,Cuba,CUB,2002,1
553,,Cuba,CUB,2003,1
554,,Cuba,CUB,2004,0.8
555,,Cuba,CUB,2005,0.5
556,,Cuba,CUB,2006,0.4
557,,Cuba,CUB,2007,0.3
558,,Cuba,CUB,2008,0.3
559,,Cuba,CUB,2009,0.3
560,,Cuba,CUB,2010,0
561,,Curacao,CUW,2000,0
562,,Curacao,CUW,2001,0
563,,Curacao,CUW,2002,0
564,,Curacao,CUW,2003,0
565,,Curacao,CUW,2004,0
566,,Curacao,CUW,2005,0
567,,Curacao,CUW,2006,0
568,,Curacao,CUW,2007,0
569,,Curacao,CUW,2008,0
570,,Curacao,CUW,2009,0
571,,Curacao,CUW,2010,0
572,,Cyprus,CYP,2000,0
573,,Cyprus,CYP,2001,0
574,,Cyprus,CYP,2002,0
575,,Cyprus,CYP,2003,0
576,,Cyprus,CYP,2004,0.02
577,,Cyprus,CYP,2005,0.02
578,,Cyprus,CYP,2006,0.02
579,,Cyprus,CYP,2007,0.2
580,,Cyprus,CYP,2008,0.2
581,,Cyprus,CYP,2009,0.1
582,,Cyprus,CYP,2010,0
583,,Czech Republic,CZE,2000,1.4
584,,Czech Republic,CZE,2001,2
585,,Czech Republic,CZE,2002,2.23
586,,Czech Republic,CZE,2003,1.7
587,,Czech Republic,CZE,2004,2.5
588,,Czech Republic,CZE,2005,2.5
589,,Czech Republic,CZE,2006,2.2
590,,Czech Republic,CZE,2007,2.8
591,,Czech Republic,CZE,2008,5
592,,Czech Republic,CZE,2009,6
593,,Czech Republic,CZE,2010,0
594,,Czechoslovakia,OWID_CZS,2000,0
595,,Czechoslovakia,OWID_CZS,2001,0
596,,Czechoslovakia,OWID_CZS,2002,0
597,,Czechoslovakia,OWID_CZS,2003,0
598,,Czechoslovakia,OWID_CZS,2004,0
599,,Czechoslovakia,OWID_CZS,2005,0
600,,Czechoslovakia,OWID_CZS,2006,0
601,,Czechoslovakia,OWID_CZS,2007,0
602,,Czechoslovakia,OWID_CZS,2008,0
603,,Czechoslovakia,OWID_CZS,2009,0
604,,Czechoslovakia,OWID_CZS,2010,0
605,,Democratic Republic of Congo,COD,2000,0
606,,Democratic Republic of Congo,COD,2001,0
607,,Democratic Republic of Congo,COD,2002,0
608,,Democratic Republic of Congo,COD,2003,0
609,,Democratic Republic of Congo,COD,2004,0
610,,Democratic Republic of Congo,COD,2005,0
611,,Democratic Republic of Congo,COD,2006,0
612,,Democratic Republic of Congo,COD,2007,0
613,,Democratic Republic of Congo,COD,2008,0
614,,Democratic Republic of Congo,COD,2009,0
615,,Democratic Republic of Congo,COD,2010,0
616,,Denmark,DNK,2000,0.49
617,,Denmark,DNK,2001,0.78
618,,Denmark,DNK,2002,0.88
619,,Denmark,DNK,2003,1.3
620,,Denmark,DNK,2004,1.4
621,,Denmark,DNK,2005,1.4
622,,Denmark,DNK,2006,1.4
623,,Denmark,DNK,2007,1.8
624,,Denmark,DNK,2008,1.71
625,,Denmark,DNK,2009,1.8
626,,Denmark,DNK,2010,0
627,,Djibouti,DJI,2000,0
628,,Djibouti,DJI,2001,0
629,,Djibouti,DJI,2002,0
630,,Djibouti,DJI,2003,0
631,,Djibouti,DJI,2004,0
632,,Djibouti,DJI,2005,0
633,,Djibouti,DJI,2006,0
634,,Djibouti,DJI,2007,0
635,,Djibouti,DJI,2008,0
636,,Djibouti,DJI,2009,0
637,,Djibouti,DJI,2010,0
638,,Dominica,DMA,2000,0
639,,Dominica,DMA,2001,0
640,,Dominica,DMA,2002,0
641,,Dominica,DMA,2003,0
642,,Dominica,DMA,2004,0
643,,Dominica,DMA,2005,0
644,,Dominica,DMA,2006,0
645,,Dominica,DMA,2007,0
646,,Dominica,DMA,2008,0
647,,Dominica,DMA,2009,0
648,,Dominica,DMA,2010,0
649,,Dominican Republic,DOM,2000,0
650,,Dominican Republic,DOM,2001,0
651,,Dominican Republic,DOM,2002,0
652,,Dominican Republic,DOM,2003,0
653,,Dominican Republic,DOM,2004,0
654,,Dominican Republic,DOM,2005,0
655,,Dominican Republic,DOM,2006,0
656,,Dominican Republic,DOM,2007,0
657,,Dominican Republic,DOM,2008,0
658,,Dominican Republic,DOM,2009,0
659,,Dominican Republic,DOM,2010,0
660,,Ecuador,ECU,2000,0
661,,Ecuador,ECU,2001,0
662,,Ecuador,ECU,2002,0
663,,Ecuador,ECU,2003,0
664,,Ecuador,ECU,2004,0
665,,Ecuador,ECU,2005,0
666,,Ecuador,ECU,2006,0.3
667,,Ecuador,ECU,2007,0
668,,Ecuador,ECU,2008,0
669,,Ecuador,ECU,2009,0.2
670,,Ecuador,ECU,2010,0
671,,Egypt,EGY,2000,0
672,,Egypt,EGY,2001,0
673,,Egypt,EGY,2002,0
674,,Egypt,EGY,2003,0
675,,Egypt,EGY,2004,0
676,,Egypt,EGY,2005,0
677,,Egypt,EGY,2006,0
678,,Egypt,EGY,2007,0
679,,Egypt,EGY,2008,0
680,,Egypt,EGY,2009,0
681,,Egypt,EGY,2010,0
682,,El Salvador,SLV,2000,0
683,,El Salvador,SLV,2001,0.3
684,,El Salvador,SLV,2002,0.4
685,,El Salvador,SLV,2003,0.35
686,,El Salvador,SLV,2004,1.54
687,,El Salvador,SLV,2005,5.78
688,,El Salvador,SLV,2006,4.74
689,,El Salvador,SLV,2007,4.555
690,,El Salvador,SLV,2008,2.15
691,,El Salvador,SLV,2009,0
692,,El Salvador,SLV,2010,0
693,,Equatorial Guinea,GNQ,2000,0
694,,Equatorial Guinea,GNQ,2001,0
695,,Equatorial Guinea,GNQ,2002,0
696,,Equatorial Guinea,GNQ,2003,0
697,,Equatorial Guinea,GNQ,2004,0
698,,Equatorial Guinea,GNQ,2005,0
699,,Equatorial Guinea,GNQ,2006,0
700,,Equatorial Guinea,GNQ,2007,0
701,,Equatorial Guinea,GNQ,2008,0
702,,Equatorial Guinea,GNQ,2009,0
703,,Equatorial Guinea,GNQ,2010,0
704,,Eritrea,ERI,2000,0
705,,Eritrea,ERI,2001,0
706,,Eritrea,ERI,2002,0
707,,Eritrea,ERI,2003,0
708,,Eritrea,ERI,2004,0
709,,Eritrea,ERI,2005,0
710,,Eritrea,ERI,2006,0
711,,Eritrea,ERI,2007,0
712,,Eritrea,ERI,2008,0
713,,Eritrea,ERI,2009,0
714,,Eritrea,ERI,2010,0
715,,Estonia,EST,2000,0
716,,Estonia,EST,2001,0
717,,Estonia,EST,2002,0
718,,Estonia,EST,2003,0
719,,Estonia,EST,2004,0.1
720,,Estonia,EST,2005,0.02
721,,Estonia,EST,2006,0.02
722,,Estonia,EST,2007,0.4
723,,Estonia,EST,2008,0.5
724,,Estonia,EST,2009,0.06
725,,Estonia,EST,2010,0
726,,Ethiopia,ETH,2000,0
727,,Ethiopia,ETH,2001,0
728,,Ethiopia,ETH,2002,0
729,,Ethiopia,ETH,2003,0
730,,Ethiopia,ETH,2004,0
731,,Ethiopia,ETH,2005,0
732,,Ethiopia,ETH,2006,0
733,,Ethiopia,ETH,2007,0.1
734,,Ethiopia,ETH,2008,0.1
735,,Ethiopia,ETH,2009,0.1
736,,Ethiopia,ETH,2010,0
737,,Faeroe Islands,FRO,2000,0
738,,Faeroe Islands,FRO,2001,0
739,,Faeroe Islands,FRO,2002,0
740,,Faeroe Islands,FRO,2003,0
741,,Faeroe Islands,FRO,2004,0
742,,Faeroe Islands,FRO,2005,0
743,,Faeroe Islands,FRO,2006,0
744,,Faeroe Islands,FRO,2007,0
745,,Faeroe Islands,FRO,2008,0
